상품명,URL,상세정보
아이배냇 영양죽 전복새우죽 160g (8개) : 다나와 가격비교,https://prod.danawa.com/info/?pcode=65229518&cate=16249098,"제조회사:아이배냇/품목:레토르트이유식/용량:160g/보관방식:상온/인증:HACCP인증,적합성평가인증,안전확인인증"
광천김 핑크퐁 키즈김 김자반 40g (5개) : 다나와 가격비교,https://prod.danawa.com/info/?pcode=29571629&cate=16249098,"제조회사:광천김/반찬:반찬/포장용기:파우치/반찬종류:김자반/용량:40g/수량(개수):5개/[영양성분]:[영양성분]/표시기준분량:40g/열량:230/탄수화물:12g/당류:0.58g/단백질:7g/지방:17g/포화지방:1.4g/트랜스지방:0g/콜레스테롤:5mg미만/나트륨:480mg/재료 종류:돌김,카놀라유,설탕,참깨,들기름,천일염/국내산:국내산/보관방식:상온/인증:HACCP인증,적합성평가인증,안전확인인증"
아이얌 아기밀 고구마 퓨레 100g (20개) : 다나와 가격비교,https://prod.danawa.com/info/?pcode=60180743&cate=16249098,"제조회사:일동후디스/품목:레토르트이유식/포장용기:파우치/12개월~:12개월~/용량:100g/보관방식:상온/인증:적합성평가인증,안전확인인증"
짱죽 실온이유식 1단계 미음 160g (4개) : 다나와 가격비교,https://prod.danawa.com/info/?pcode=21219788&cate=16249098,"제조회사:짱죽/수제이유식:수제이유식/4개월~:4개월~/무항생제인증:무항생제인증/미음:미음/용량:160g/수량(개수):160g x 4개/보관방식:상온/인증:HACCP인증,적합성평가인증,안전확인인증"
루솔 순수퐁당 퓨레 선물박스 12팩 : 다나와 가격비교,https://prod.danawa.com/info/?pcode=25958192&cate=16249098,"제조회사:에코패밀리 루솔/인증:적합성평가인증,안전확인인증"
매일유업 맘마밀 안심이유식 브로콜리와 닭가슴살 100g (10개) : 다나와 가격비교,https://prod.danawa.com/info/?pcode=21210812&cate=16249098,"제조회사:매일유업/품목:레토르트이유식/포장용기:파우치/9개월~:9개월~/용량:100g/수량(개수):10개/재료 종류:이천쌀,닭가슴살,브로콜리,감자,당근,양파,무,단호박/보관방식:상온/인증:적합성평가인증,안전확인인증"
베베스트 처음먹는 순 아이 들기름 75ml (1개) : 다나와 가격비교,https://prod.danawa.com/info/?pcode=21606680&cate=16249098,"제조회사:베베스트/용량:75ml/수량(개수):1개/인증:적합성평가인증,안전확인인증"
매일유업 맘마밀 안심이유식 퓨레 바나나와 단호박 100g (10개) : 다나와 가격비교,https://prod.danawa.com/info/?pcode=21212930&cate=16249098,"제조회사:매일유업/품목:레토르트이유식/포장용기:파우치/최소연령:6개월~/용량:100g/수량(개수):10개/[영양성분]:[영양성분]/표시기준분량:100g/열량:70kcal/탄수화물:16g/당류:11g/단백질:0.8g/지방:0.5g/포화지방:0g/트랜스지방:0g/콜레스테롤:0mg/나트륨:30mg/보관방식:상온/인증:적합성평가인증,안전확인인증"
베베쿡 처음먹는 덮밥 소스 카레 200g (4개) : 다나와 가격비교,https://prod.danawa.com/info/?pcode=36798284&cate=16249098,"제조회사:베베쿡/양념:양념/12개월~:12개월~/합성보존료:L-글루탐산나트륨/보관방식:상온/인증:HACCP인증,적합성평가인증,안전확인인증"
루솔 실온이유식 바로밀 3단계 (파우치형) (10개) : 다나와 가격비교,https://prod.danawa.com/info/?pcode=42728708&cate=16249098,"제조회사:에코패밀리 루솔/품목:레토르트이유식/인증:적합성평가인증,안전확인인증"
루솔 프리미엄 실온이유식 바로밀 혼합(파우치형) 100g (10개) : 다나와 가격비교,https://prod.danawa.com/info/?pcode=31952123&cate=16249098,"제조회사:루솔/품목:레토르트이유식/용량:100g/수량(개수):10개/인증:적합성평가인증,안전확인인증"
가보팜스 가보팜스 사과 고구마퓨레 90g (8개) : 다나와 가격비교,https://prod.danawa.com/info/?pcode=76559972&cate=16249098,"제조회사:가보팜스/수제이유식:수제이유식/플라스틱병:플라스틱병/반찬종류:퓨레/용량:90g/수량(개수):8개/[영양성분]:[영양성분]/표시기준분량:90g/열량:115kcal/탄수화물:28g/당류:12g/단백질:1g미만/지방:0g/포화지방:0g/트랜스지방:0g/콜레스테롤:0mg/나트륨:20mg/재료 종류:고구마퓨레 75%)),군고구마퓨레 10%)),사과퓨레 25%, 비타민 C/국내산:국내산/보관방식:상온/인증:HACCP인증,적합성평가인증,안전확인인증"
매일유업 맘마밀 안심밥상 닭백숙 찹쌀진밥 140g (10개) : 다나와 가격비교,https://prod.danawa.com/info/?pcode=21215342&cate=16249098,"제조회사:매일유업/품목:레토르트이유식/포장용기:파우치/15개월~:15개월~/진밥:진밥/용량:140g/수량(개수):10개/보관방식:상온/인증:적합성평가인증,안전확인인증"
짱죽 짱죽 골고루 (20개) : 다나와 가격비교,https://prod.danawa.com/info/?pcode=21225134&cate=16249098,"제조회사:짱죽/수제이유식:수제이유식/수량(개수):20개/구성:1.5단계 17종,2단계 38종,3단계 30종,4단계 24종,반찬 19종,영양국 11종,볶음밥 6종/인증:적합성평가인증,안전확인인증"
아이배냇 베베 순간장소스 비빔용 190ml (1개) : 다나와 가격비교,https://prod.danawa.com/info/?pcode=21209477&cate=16249098,"제조회사:아이배냇/양념:양념/10개월~:10개월~/반찬종류:간장/용량:190ml/비빔무침용:비빔무침용/인증:적합성평가인증,안전확인인증"
엘빈즈 이유식 초기/중기/후기/완료기 골고루 랜덤 30팩 : 다나와 가격비교,https://prod.danawa.com/info/?pcode=25963064&cate=16249098,"제조회사:헬스밸런스/인증:적합성평가인증,안전확인인증"
매일유업 맘마밀 안심이유식 퓨레 사과와 고구마 100g (3개) : 다나와 가격비교,https://prod.danawa.com/info/?pcode=21224447&cate=16249098,"제조회사:매일유업/품목:레토르트이유식/포장용기:파우치/최소연령:6개월~/용량:100g/수량(개수):3개/재료 종류:정제수,증숙고구마,사과퓨레,바나나퓨레,유기농쌀/보관방식:상온/인증:HACCP인증,적합성평가인증,안전확인인증"
베이비본죽 완료기 이유식 E세트 1세트 : 다나와 가격비교,https://prod.danawa.com/info/?pcode=25955294&cate=16249098,"제조회사:순수본 베이비본죽/인증:적합성평가인증,안전확인인증"
베이비본죽 완료기 이유식 D세트 1세트 : 다나와 가격비교,https://prod.danawa.com/info/?pcode=25955573&cate=16249098,"제조회사:순수본 베이비본죽/인증:적합성평가인증,안전확인인증"
매일유업 맘마밀 퓨레 오트밀과 사과프룬 100g (30개) : 다나와 가격비교,https://prod.danawa.com/info/?pcode=31650161&cate=16249098,"제조회사:매일유업/품목:레토르트이유식/액상:액상/포장용기:파우치/최소연령:6개월~/인증:HACCP인증,적합성평가인증,안전확인인증"
아이배냇 베베 순간장소스 국물용 190ml (2개) : 다나와 가격비교,https://prod.danawa.com/info/?pcode=56503367&cate=16249098,"제조회사:아이배냇/양념:양념/10개월~:10개월~/반찬종류:간장/용량:190ml/수량(개수):190ml x 2개/국물조림용:국물조림용/인증:적합성평가인증,안전확인인증"
엘빈즈 클래식 이유식 볶음밥 6단계 160g (1개) : 다나와 가격비교,https://prod.danawa.com/info/?pcode=21219674&cate=16249098,"제조회사:헬스밸런스/수제이유식:수제이유식/12개월~:12개월~/무항생제인증:무항생제인증/용량:160g/수량(개수):1개/냉장:냉장/인증:HACCP인증,적합성평가인증,안전확인인증"
아이배냇 순 발아 참기름 참깨 2병 75ml : 다나와 가격비교,https://prod.danawa.com/info/?pcode=27470696&cate=16249098,"제조회사:아이배냇/인증:적합성평가인증,안전확인인증"
아이배냇 영양죽 한우사골죽 160g (2개) : 다나와 가격비교,https://prod.danawa.com/info/?pcode=65229206&cate=16249098,"제조회사:아이배냇/품목:레토르트이유식/용량:160g/보관방식:상온/인증:HACCP인증,적합성평가인증,안전확인인증"
루솔 프리미엄 3단계 진밥 180g (26개) : 다나와 가격비교,https://prod.danawa.com/info/?pcode=27752729&cate=16249098,"제조회사:에코패밀리 루솔/수제이유식:수제이유식/10개월~:10개월~/진밥:진밥/용량:180g/수량(개수):26개/냉장:냉장/인증:HACCP인증,적합성평가인증,안전확인인증"
루솔 프리미엄 4단계 아기밥 180g (12개) : 다나와 가격비교,https://prod.danawa.com/info/?pcode=21208601&cate=16249098,"제조회사:루솔/수제이유식:수제이유식/13개월~:13개월~/아기밥:아기밥/용량:180g/수량(개수):12개/냉장:냉장/인증:적합성평가인증,안전확인인증"
남양유업 맘스쿠킹 바나나 사과 배 100g (10개) : 다나와 가격비교,https://prod.danawa.com/info/?pcode=21231185&cate=16249098,"제조회사:남양유업/품목:레토르트이유식/포장용기:파우치/최소연령:6개월~/국내산:국내산/보관방식:상온/인증:HACCP인증,적합성평가인증,안전확인인증"
짱죽 실온이유식 2단계 죽 160g (4개) : 다나와 가격비교,https://prod.danawa.com/info/?pcode=21219866&cate=16249098,"제조회사:짱죽/수제이유식:수제이유식/7개월~:7개월~/무항생제인증:무항생제인증/죽:죽/용량:160g/수량(개수):4개/보관방식:상온/인증:HACCP인증,적합성평가인증,안전확인인증"
엘빈즈 우리아이 사골곰탕 150g (1개) : 다나와 가격비교,https://prod.danawa.com/info/?pcode=21428144&cate=16249098,"제조회사:헬스밸런스/아기국:아기국/12개월~:12개월~/용량:150g/수량(개수):1개/[영양성분]:[영양성분]/표시기준분량:150g/열량:20kcal/탄수화물:0g/당류:0g/단백질:2g/지방:1.2g/포화지방:0.5g/트랜스지방:0g/콜레스테롤:0mg/나트륨:20mg/보관방식:상온/인증:HACCP인증,적합성평가인증,안전확인인증"
루솔 프리미엄 1단계 미음 140g (12개) : 다나와 가격비교,https://prod.danawa.com/info/?pcode=21208550&cate=16249098,"제조회사:에코패밀리 루솔/수제이유식:수제이유식/4개월~:4개월~/미음:미음/용량:180g/수량(개수):180g x 12개/냉장:냉장/인증:적합성평가인증,안전확인인증"
아이배냇 영양죽 전복새우죽 160g (8개) : 다나와 가격비교,https://prod.danawa.com/info/?pcode=65229518&cate=16249098,"제조회사:아이배냇/품목:레토르트이유식/용량:160g/보관방식:상온/인증:HACCP인증,적합성평가인증,안전확인인증"
광천김 핑크퐁 키즈김 김자반 40g (5개) : 다나와 가격비교,https://prod.danawa.com/info/?pcode=29571629&cate=16249098,"제조회사:광천김/반찬:반찬/포장용기:파우치/반찬종류:김자반/용량:40g/수량(개수):5개/[영양성분]:[영양성분]/표시기준분량:40g/열량:230/탄수화물:12g/당류:0.58g/단백질:7g/지방:17g/포화지방:1.4g/트랜스지방:0g/콜레스테롤:5mg미만/나트륨:480mg/재료 종류:돌김,카놀라유,설탕,참깨,들기름,천일염/국내산:국내산/보관방식:상온/인증:HACCP인증,적합성평가인증,안전확인인증"
아이얌 아기밀 고구마 퓨레 100g (20개) : 다나와 가격비교,https://prod.danawa.com/info/?pcode=60180743&cate=16249098,"제조회사:일동후디스/품목:레토르트이유식/포장용기:파우치/12개월~:12개월~/용량:100g/보관방식:상온/인증:적합성평가인증,안전확인인증"
짱죽 실온이유식 1단계 미음 160g (4개) : 다나와 가격비교,https://prod.danawa.com/info/?pcode=21219788&cate=16249098,"제조회사:짱죽/수제이유식:수제이유식/4개월~:4개월~/무항생제인증:무항생제인증/미음:미음/용량:160g/수량(개수):160g x 4개/보관방식:상온/인증:HACCP인증,적합성평가인증,안전확인인증"
루솔 순수퐁당 퓨레 선물박스 12팩 : 다나와 가격비교,https://prod.danawa.com/info/?pcode=25958192&cate=16249098,"제조회사:에코패밀리 루솔/인증:적합성평가인증,안전확인인증"
매일유업 맘마밀 안심이유식 브로콜리와 닭가슴살 100g (10개) : 다나와 가격비교,https://prod.danawa.com/info/?pcode=21210812&cate=16249098,"제조회사:매일유업/품목:레토르트이유식/포장용기:파우치/9개월~:9개월~/용량:100g/수량(개수):10개/재료 종류:이천쌀,닭가슴살,브로콜리,감자,당근,양파,무,단호박/보관방식:상온/인증:적합성평가인증,안전확인인증"
베베스트 처음먹는 순 아이 들기름 75ml (1개) : 다나와 가격비교,https://prod.danawa.com/info/?pcode=21606680&cate=16249098,"제조회사:베베스트/용량:75ml/수량(개수):1개/인증:적합성평가인증,안전확인인증"
매일유업 맘마밀 안심이유식 퓨레 바나나와 단호박 100g (10개) : 다나와 가격비교,https://prod.danawa.com/info/?pcode=21212930&cate=16249098,"제조회사:매일유업/품목:레토르트이유식/포장용기:파우치/최소연령:6개월~/용량:100g/수량(개수):10개/[영양성분]:[영양성분]/표시기준분량:100g/열량:70kcal/탄수화물:16g/당류:11g/단백질:0.8g/지방:0.5g/포화지방:0g/트랜스지방:0g/콜레스테롤:0mg/나트륨:30mg/보관방식:상온/인증:적합성평가인증,안전확인인증"
베베쿡 처음먹는 덮밥 소스 카레 200g (4개) : 다나와 가격비교,https://prod.danawa.com/info/?pcode=36798284&cate=16249098,"제조회사:베베쿡/양념:양념/12개월~:12개월~/합성보존료:L-글루탐산나트륨/보관방식:상온/인증:HACCP인증,적합성평가인증,안전확인인증"
루솔 실온이유식 바로밀 3단계 (파우치형) (10개) : 다나와 가격비교,https://prod.danawa.com/info/?pcode=42728708&cate=16249098,"제조회사:에코패밀리 루솔/품목:레토르트이유식/인증:적합성평가인증,안전확인인증"
루솔 프리미엄 실온이유식 바로밀 혼합(파우치형) 100g (10개) : 다나와 가격비교,https://prod.danawa.com/info/?pcode=31952123&cate=16249098,"제조회사:루솔/품목:레토르트이유식/용량:100g/수량(개수):10개/인증:적합성평가인증,안전확인인증"
가보팜스 가보팜스 사과 고구마퓨레 90g (8개) : 다나와 가격비교,https://prod.danawa.com/info/?pcode=76559972&cate=16249098,"제조회사:가보팜스/수제이유식:수제이유식/플라스틱병:플라스틱병/반찬종류:퓨레/용량:90g/수량(개수):8개/[영양성분]:[영양성분]/표시기준분량:90g/열량:115kcal/탄수화물:28g/당류:12g/단백질:1g미만/지방:0g/포화지방:0g/트랜스지방:0g/콜레스테롤:0mg/나트륨:20mg/재료 종류:고구마퓨레 75%)),군고구마퓨레 10%)),사과퓨레 25%, 비타민 C/국내산:국내산/보관방식:상온/인증:HACCP인증,적합성평가인증,안전확인인증"
매일유업 맘마밀 안심밥상 닭백숙 찹쌀진밥 140g (10개) : 다나와 가격비교,https://prod.danawa.com/info/?pcode=21215342&cate=16249098,"제조회사:매일유업/품목:레토르트이유식/포장용기:파우치/15개월~:15개월~/진밥:진밥/용량:140g/수량(개수):10개/보관방식:상온/인증:적합성평가인증,안전확인인증"
짱죽 짱죽 골고루 (20개) : 다나와 가격비교,https://prod.danawa.com/info/?pcode=21225134&cate=16249098,"제조회사:짱죽/수제이유식:수제이유식/수량(개수):20개/구성:1.5단계 17종,2단계 38종,3단계 30종,4단계 24종,반찬 19종,영양국 11종,볶음밥 6종/인증:적합성평가인증,안전확인인증"
아이배냇 베베 순간장소스 비빔용 190ml (1개) : 다나와 가격비교,https://prod.danawa.com/info/?pcode=21209477&cate=16249098,"제조회사:아이배냇/양념:양념/10개월~:10개월~/반찬종류:간장/용량:190ml/비빔무침용:비빔무침용/인증:적합성평가인증,안전확인인증"
엘빈즈 이유식 초기/중기/후기/완료기 골고루 랜덤 30팩 : 다나와 가격비교,https://prod.danawa.com/info/?pcode=25963064&cate=16249098,"제조회사:헬스밸런스/인증:적합성평가인증,안전확인인증"
매일유업 맘마밀 안심이유식 퓨레 사과와 고구마 100g (3개) : 다나와 가격비교,https://prod.danawa.com/info/?pcode=21224447&cate=16249098,"제조회사:매일유업/품목:레토르트이유식/포장용기:파우치/최소연령:6개월~/용량:100g/수량(개수):3개/재료 종류:정제수,증숙고구마,사과퓨레,바나나퓨레,유기농쌀/보관방식:상온/인증:HACCP인증,적합성평가인증,안전확인인증"
베이비본죽 완료기 이유식 E세트 1세트 : 다나와 가격비교,https://prod.danawa.com/info/?pcode=25955294&cate=16249098,"제조회사:순수본 베이비본죽/인증:적합성평가인증,안전확인인증"
베이비본죽 완료기 이유식 D세트 1세트 : 다나와 가격비교,https://prod.danawa.com/info/?pcode=25955573&cate=16249098,"제조회사:순수본 베이비본죽/인증:적합성평가인증,안전확인인증"
매일유업 맘마밀 퓨레 오트밀과 사과프룬 100g (30개) : 다나와 가격비교,https://prod.danawa.com/info/?pcode=31650161&cate=16249098,"제조회사:매일유업/품목:레토르트이유식/액상:액상/포장용기:파우치/최소연령:6개월~/인증:HACCP인증,적합성평가인증,안전확인인증"
아이배냇 베베 순간장소스 국물용 190ml (2개) : 다나와 가격비교,https://prod.danawa.com/info/?pcode=56503367&cate=16249098,"제조회사:아이배냇/양념:양념/10개월~:10개월~/반찬종류:간장/용량:190ml/수량(개수):190ml x 2개/국물조림용:국물조림용/인증:적합성평가인증,안전확인인증"
엘빈즈 클래식 이유식 볶음밥 6단계 160g (1개) : 다나와 가격비교,https://prod.danawa.com/info/?pcode=21219674&cate=16249098,"제조회사:헬스밸런스/수제이유식:수제이유식/12개월~:12개월~/무항생제인증:무항생제인증/용량:160g/수량(개수):1개/냉장:냉장/인증:HACCP인증,적합성평가인증,안전확인인증"
아이배냇 순 발아 참기름 참깨 2병 75ml : 다나와 가격비교,https://prod.danawa.com/info/?pcode=27470696&cate=16249098,"제조회사:아이배냇/인증:적합성평가인증,안전확인인증"
아이배냇 영양죽 한우사골죽 160g (2개) : 다나와 가격비교,https://prod.danawa.com/info/?pcode=65229206&cate=16249098,"제조회사:아이배냇/품목:레토르트이유식/용량:160g/보관방식:상온/인증:HACCP인증,적합성평가인증,안전확인인증"
루솔 프리미엄 3단계 진밥 180g (26개) : 다나와 가격비교,https://prod.danawa.com/info/?pcode=27752729&cate=16249098,"제조회사:에코패밀리 루솔/수제이유식:수제이유식/10개월~:10개월~/진밥:진밥/용량:180g/수량(개수):26개/냉장:냉장/인증:HACCP인증,적합성평가인증,안전확인인증"
루솔 프리미엄 4단계 아기밥 180g (12개) : 다나와 가격비교,https://prod.danawa.com/info/?pcode=21208601&cate=16249098,"제조회사:루솔/수제이유식:수제이유식/13개월~:13개월~/아기밥:아기밥/용량:180g/수량(개수):12개/냉장:냉장/인증:적합성평가인증,안전확인인증"
남양유업 맘스쿠킹 바나나 사과 배 100g (10개) : 다나와 가격비교,https://prod.danawa.com/info/?pcode=21231185&cate=16249098,"제조회사:남양유업/품목:레토르트이유식/포장용기:파우치/최소연령:6개월~/국내산:국내산/보관방식:상온/인증:HACCP인증,적합성평가인증,안전확인인증"
짱죽 실온이유식 2단계 죽 160g (4개) : 다나와 가격비교,https://prod.danawa.com/info/?pcode=21219866&cate=16249098,"제조회사:짱죽/수제이유식:수제이유식/7개월~:7개월~/무항생제인증:무항생제인증/죽:죽/용량:160g/수량(개수):4개/보관방식:상온/인증:HACCP인증,적합성평가인증,안전확인인증"
엘빈즈 우리아이 사골곰탕 150g (1개) : 다나와 가격비교,https://prod.danawa.com/info/?pcode=21428144&cate=16249098,"제조회사:헬스밸런스/아기국:아기국/12개월~:12개월~/용량:150g/수량(개수):1개/[영양성분]:[영양성분]/표시기준분량:150g/열량:20kcal/탄수화물:0g/당류:0g/단백질:2g/지방:1.2g/포화지방:0.5g/트랜스지방:0g/콜레스테롤:0mg/나트륨:20mg/보관방식:상온/인증:HACCP인증,적합성평가인증,안전확인인증"
루솔 프리미엄 1단계 미음 140g (12개) : 다나와 가격비교,https://prod.danawa.com/info/?pcode=21208550&cate=16249098,"제조회사:에코패밀리 루솔/수제이유식:수제이유식/4개월~:4개월~/미음:미음/용량:180g/수량(개수):180g x 12개/냉장:냉장/인증:적합성평가인증,안전확인인증"
아이배냇 영양죽 전복새우죽 160g (8개) : 다나와 가격비교,https://prod.danawa.com/info/?pcode=65229518&cate=16249098,"제조회사:아이배냇/품목:레토르트이유식/용량:160g/보관방식:상온/인증:HACCP인증,적합성평가인증,안전확인인증"
광천김 핑크퐁 키즈김 김자반 40g (5개) : 다나와 가격비교,https://prod.danawa.com/info/?pcode=29571629&cate=16249098,"제조회사:광천김/반찬:반찬/포장용기:파우치/반찬종류:김자반/용량:40g/수량(개수):5개/[영양성분]:[영양성분]/표시기준분량:40g/열량:230/탄수화물:12g/당류:0.58g/단백질:7g/지방:17g/포화지방:1.4g/트랜스지방:0g/콜레스테롤:5mg미만/나트륨:480mg/재료 종류:돌김,카놀라유,설탕,참깨,들기름,천일염/국내산:국내산/보관방식:상온/인증:HACCP인증,적합성평가인증,안전확인인증"
아이얌 아기밀 고구마 퓨레 100g (20개) : 다나와 가격비교,https://prod.danawa.com/info/?pcode=60180743&cate=16249098,"제조회사:일동후디스/품목:레토르트이유식/포장용기:파우치/12개월~:12개월~/용량:100g/보관방식:상온/인증:적합성평가인증,안전확인인증"
짱죽 실온이유식 1단계 미음 160g (4개) : 다나와 가격비교,https://prod.danawa.com/info/?pcode=21219788&cate=16249098,"제조회사:짱죽/수제이유식:수제이유식/4개월~:4개월~/무항생제인증:무항생제인증/미음:미음/용량:160g/수량(개수):160g x 4개/보관방식:상온/인증:HACCP인증,적합성평가인증,안전확인인증"
루솔 순수퐁당 퓨레 선물박스 12팩 : 다나와 가격비교,https://prod.danawa.com/info/?pcode=25958192&cate=16249098,"제조회사:에코패밀리 루솔/인증:적합성평가인증,안전확인인증"
매일유업 맘마밀 안심이유식 브로콜리와 닭가슴살 100g (10개) : 다나와 가격비교,https://prod.danawa.com/info/?pcode=21210812&cate=16249098,"제조회사:매일유업/품목:레토르트이유식/포장용기:파우치/9개월~:9개월~/용량:100g/수량(개수):10개/재료 종류:이천쌀,닭가슴살,브로콜리,감자,당근,양파,무,단호박/보관방식:상온/인증:적합성평가인증,안전확인인증"
베베스트 처음먹는 순 아이 들기름 75ml (1개) : 다나와 가격비교,https://prod.danawa.com/info/?pcode=21606680&cate=16249098,"제조회사:베베스트/용량:75ml/수량(개수):1개/인증:적합성평가인증,안전확인인증"
매일유업 맘마밀 안심이유식 퓨레 바나나와 단호박 100g (10개) : 다나와 가격비교,https://prod.danawa.com/info/?pcode=21212930&cate=16249098,"제조회사:매일유업/품목:레토르트이유식/포장용기:파우치/최소연령:6개월~/용량:100g/수량(개수):10개/[영양성분]:[영양성분]/표시기준분량:100g/열량:70kcal/탄수화물:16g/당류:11g/단백질:0.8g/지방:0.5g/포화지방:0g/트랜스지방:0g/콜레스테롤:0mg/나트륨:30mg/보관방식:상온/인증:적합성평가인증,안전확인인증"
베베쿡 처음먹는 덮밥 소스 카레 200g (4개) : 다나와 가격비교,https://prod.danawa.com/info/?pcode=36798284&cate=16249098,"제조회사:베베쿡/양념:양념/12개월~:12개월~/합성보존료:L-글루탐산나트륨/보관방식:상온/인증:HACCP인증,적합성평가인증,안전확인인증"
루솔 실온이유식 바로밀 3단계 (파우치형) (10개) : 다나와 가격비교,https://prod.danawa.com/info/?pcode=42728708&cate=16249098,"제조회사:에코패밀리 루솔/품목:레토르트이유식/인증:적합성평가인증,안전확인인증"
루솔 프리미엄 실온이유식 바로밀 혼합(파우치형) 100g (10개) : 다나와 가격비교,https://prod.danawa.com/info/?pcode=31952123&cate=16249098,"제조회사:루솔/품목:레토르트이유식/용량:100g/수량(개수):10개/인증:적합성평가인증,안전확인인증"
